ISBN,Title,Author,Purchase Date,Member ID
9783161484100,Book_1,Author_1,1/8/2010,0
9783161484103,Book_1,Author_1,1/8/2014,4933
9783161484104,Book_1,Author_1,1/8/2014,0
9783161484105,Book_1,Author_1,1/8/2014,0
9783161484106,Book_1,Author_1,1/8/2014,0
9783161484107,Book_1,Author_1,1/8/2014,0
9754163324103,Book_2,Author_2,1/8/2014,0
9783161484123,Book_3,Author_3,1/8/2010,0
9732261484738,Book_4,Author_4,1/8/2014,0
9123161438903,Book_5,Author_5,1/8/2014,0
9998147284100,Book_6,Author_8,1/8/2010,0
9086722234105,Book_7,Author_7,1/8/2014,0
9744421484103,Book_8,Author_9,1/8/2014,0
